Pattern;p
104742287;1.1134e-08
33554497;4.9076e-07
134215374;4.09254e-07
25053184;1.36982e-06
133965824;1.0348e-06
117674464;7.40934e-07
134214654;1.11318e-05
110250420;1.09406e-06
83868159;2.37541e-07
114332192;2.13137e-08
19529;1.46046e-06
18984969;5.42612e-08
114857545;1.81257e-07
68173952;5.65789e-08
16748520;7.64838e-08
81684480;1.68851e-07
6709710;2.04502e-10
133955949;1.83591e-06
50330621;1.29086e-07
125812475;6.76834e-07
77483775;2.10705e-07
127139840;1.4793e-06
63381052;9.11171e-09
117407547;4.92578e-07
133954591;5.2882e-07
133419496;6.37297e-07
63205831;2.61308e-08
496127;1.63631e-06
115334143;6.25913e-07
19169345;2.91847e-07
1602040;1.48832e-07
50693695;6.31684e-09
80635396;9.78884e-08
70180;2.02775e-07
119668263;2.73806e-08
38281234;4.55813e-08
114912434;5.83286e-08
8132102;6.70085e-08
133958068;6.59747e-07
10276455;8.595e-07
20928;2.33201e-07
77300160;2.95551e-07
102621212;2.32678e-08
134169599;3.17953e-06
117645600;1.85779e-07
14155851;2.37472e-07
790012;3.16751e-08
16776705;3.90463e-06
114518377;7.45751e-08
32308815;1.10954e-07
